name,height,weight,gender
Adriana Lima,177.8,115,f
Alicia Keys,167.64,120,f
Angelina Jolie,172.7,122,f
Anna Kournikova,172.7,120,f
Ashley Judd,170.2,125,f
Avril Lavigne,157.5,113,f
Bar Rafaeli,174,128,f
Beyonce Knowles,167.6,129,f
Blake Lively,172.7,125,f
Carmen Electra,160,113,f
Carrie Underwood,160,114,f
Christina Aguilera,156.2,105,f
Drew Barrymore,162.6,122,f
Elle MacPherson,183,130,f
Eva Longoria,157.5,105,f
Fergie / Stacy Ferguson,158.8,108,f
Fiona Apple,160,105,f
Geri Halliwell,157.5,107,f
Gisele Bundchen,180.3,120,f
Gwen Stefani,167.6,116,f
HalleÿBerry,166.4,116,f
Hilary Duff,154.9,127,f
Jessica Alba,167.6,120,f
Jessica Biel,171.5,110,f
Jessica Simpson,160,122,f
Jennifer Aniston,163.8,114,f
Jennifer Garner,172.7,116,f
Jennifer Love Hewitt,158.8,120,f
Jennifer Lopez,166.4,127,f
Madonna,162.6,107,f
Miley Cyrus,164,106,f
Naomi Campbell,177.8,113,f
Natalie Portman,162.6,111,f
Nicole Kidman,179.1,122,f
Penelope Cruz,172.7,109,f
Rachael Leigh Cook,157.5,99,f
Raven Symone,180.3,170,f
Reese Witherspoon,157.5,116,f
Rihanna,172.7,131,f
Rose McGowan,160,102,f
Salma Hayek,157.5,117,f
Sarah Michelle Gellar,160,100,f
Scarlett Johansson,162,112,f
Shakira,157.5,128,f
Victoria Beckham,167.6,108,f
ELVIS PRESLEY,182.2,165,m
DWAYNE JOHNSON,189,220,m
DWAYNE ADWAY,193,190,m
BRAD PITT,180.3,176,m
DUSTIN HOFFMAN,165,179,m
DUSTIN CLARE,175,163,m
FRED ASTAIRE,175,134,m
FRED DRYER,198,243,m
MADS MIKKELSEN,182,181,m
TOM SELLECK,192,201,m
JOHNNY DEPP,175.3,176,m
DONNY OSMOND,173,176,m
CHARLIE CHAPLIN,162.6,165,m
DENZEL WASHINGTON,182.2,176,m
ROBERT DE NIRO,175.3,176,m
KIEFER SUTHERLAND,174,168,m
ICE CUBE,173,185,m
MARLON BRANDO,174.6,265,m
MARLON BRANDO,180,179,m
LARRY FINE,163,165,m
GARY COOPER,191,196,m
TOM HANKS,183,176,m
FORREST TUCKER,193,220,m
KANE KOSUGI,182,174,m
RICHARD HARRIS,182.9,176,m
DANIEL CRAIG,178.4,172,m
GEORGE WENDT,172.7,331,m
CHRIS EVANS,182.9,194,m
JOSH BROLIN,176.5,185,m
JAVIER BARDEM,181,216,m
WOODY ALLEN,162.6,159,m
VAL KILMER,181.6,187,m
HARRY DEAN STANTON,172.7,150,m
CHRIS PINE,183,172,m
RANDY QUAID,195.6,243,m
USHER,172.7,154,m
KURTWOOD SMITH,183,154,m
KURT RUSSELL,176,170,m
FRANCO NERO,181,176,m
SAMMY DAVIS JR.,161.3,121,m
Clint Eastwood,193.04,148,m
John Wayne,193,170,m
Henry Fonda,187,155,m
Kirk Douglas,175.3,152,m
Michael Douglas,178,139,m
Burt Lancaster,188,180,m
